session_a,frame_a,label_a,original_state_a,session_b,frame_b,label_b,original_state_b,phash_distance,dhash_distance,is_boundary_a,is_boundary_b,crop_path_a,crop_path_b
session_20260710_131254,501,READY,READY,session_20260710_131254,529,NONE,HOOK,0,0,True,True,prompt/crops/session_20260710_131254_000501_ready.jpg,prompt/crops/session_20260710_131254_000529_none.jpg
session_20260710_131254,501,READY,READY,session_20260710_131254,192,NONE,HOOK,0,0,True,True,prompt/crops/session_20260710_131254_000501_ready.jpg,prompt/crops/session_20260710_131254_000192_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,376,NONE,HOOK,0,2,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000376_none.jpg
session_20260710_125441,355,READY,READY,session_20260710_125441,376,NONE,HOOK,0,2,False,False,prompt/crops/session_20260710_125441_000355_ready.jpg,prompt/crops/session_20260710_125441_000376_none.jpg
session_20260710_125441,356,READY,READY,session_20260710_125441,376,NONE,HOOK,0,2,False,False,prompt/crops/session_20260710_125441_000356_ready.jpg,prompt/crops/session_20260710_125441_000376_none.jpg
session_20260710_125441,357,READY,READY,session_20260710_125441,376,NONE,HOOK,0,2,False,False,prompt/crops/session_20260710_125441_000357_ready.jpg,prompt/crops/session_20260710_125441_000376_none.jpg
session_20260710_125441,358,READY,READY,session_20260710_125441,376,NONE,HOOK,0,2,True,False,prompt/crops/session_20260710_125441_000358_ready.jpg,prompt/crops/session_20260710_125441_000376_none.jpg
session_20260710_125441,359,READY,READY,session_20260710_125441,376,NONE,HOOK,0,2,True,False,prompt/crops/session_20260710_125441_000359_ready.jpg,prompt/crops/session_20260710_125441_000376_none.jpg
session_20260710_125441,360,READY,READY,session_20260710_125441,376,NONE,HOOK,0,2,True,False,prompt/crops/session_20260710_125441_000360_ready.jpg,prompt/crops/session_20260710_125441_000376_none.jpg
session_20260710_131254,500,READY,READY,session_20260710_131254,191,NONE,HOOK,2,0,True,True,prompt/crops/session_20260710_131254_000500_ready.jpg,prompt/crops/session_20260710_131254_000191_none.jpg
session_20260710_131254,500,READY,READY,session_20260710_131254,528,NONE,HOOK,2,0,True,True,prompt/crops/session_20260710_131254_000500_ready.jpg,prompt/crops/session_20260710_131254_000528_none.jpg
session_20260710_131254,503,READY,READY,session_20260710_131254,194,NONE,HOOK,2,0,False,False,prompt/crops/session_20260710_131254_000503_ready.jpg,prompt/crops/session_20260710_131254_000194_none.jpg
session_20260710_131254,503,READY,READY,session_20260710_131254,531,NONE,HOOK,2,0,False,False,prompt/crops/session_20260710_131254_000503_ready.jpg,prompt/crops/session_20260710_131254_000531_none.jpg
session_20260710_131254,596,IDLE,IDLE,session_20260710_131254,503,READY,READY,2,0,False,False,prompt/crops/session_20260710_131254_000596_idle.jpg,prompt/crops/session_20260710_131254_000503_ready.jpg
session_20260710_125441,353,READY,READY,session_20260710_125441,376,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000353_ready.jpg,prompt/crops/session_20260710_125441_000376_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,378,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000378_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,377,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000377_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,379,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000379_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,373,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000373_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,380,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000380_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,381,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000381_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,375,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000375_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,372,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000372_none.jpg
session_20260710_125441,354,READY,READY,session_20260710_125441,374,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000354_ready.jpg,prompt/crops/session_20260710_125441_000374_none.jpg
session_20260710_125441,355,READY,READY,session_20260710_125441,379,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000355_ready.jpg,prompt/crops/session_20260710_125441_000379_none.jpg
session_20260710_125441,355,READY,READY,session_20260710_125441,377,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000355_ready.jpg,prompt/crops/session_20260710_125441_000377_none.jpg
session_20260710_125441,355,READY,READY,session_20260710_125441,373,NONE,HOOK,0,3,False,False,prompt/crops/session_20260710_125441_000355_ready.jpg,prompt/crops/session_20260710_125441_000373_none.jpg
